Experiment_Type,Seed,Best,R0,R1,R2,R3,R4,R5,R6,R7,R8
UnsupDA CORAL Run1,82.81,,,,,,,,,,
UnsupDA CORAL Run2,82.81,,,,,,,,,,
UnsupDA CORAL Run3,86.56,,,,,,,,,,
UnsupDA CORAL Run4,87.31,,,,,,,,,,
UnsupDA MMD Run0,82.06,,,,,,,,,,
UnsupDA MMD Run1,82.06,,,,,,,,,,
UnsupDA MMD Run2,82.06,,,,,,,,,,
UnsupDA MMD Run3,87.06,,,,,,,,,,
UnsupDA MMD Run4,87.19,,,,,,,,,,
UnsupDA DANN Run0,76.69,,,,,,,,,,
UnsupDA DANN Run1,81.75,,,,,,,,,,
UnsupDA DANN Run2,81.75,,,,,,,,,,
UnsupDA DANN Run3,81.75,,,,,,,,,,
UnsupDA DANN Run4,81.75,,,,,,,,,,
UnsupDA MIXUP Run0,64.38,,,,,,,,,,
UnsupDA MIXUP Run1,70.19,,,,,,,,,,
UnsupDA MIXUP Run2,70.19,,,,,,,,,,
UnsupDA MIXUP Run3,71.56,,,,,,,,,,
UnsupDA MIXUP Run4,71.56,,,,,,,,,,
