alpha,lambda,round,mean_acc,std_acc,best_acc
0.9,0,0,82.625,0.0,82.625
0.9,0,1,91.95,2.248,95.125
0.9,0,2,92.525,3.3729,96.8125
0.9,0,3,93.825,1.4667,95.5
0.9,0,4,93.8375,0.9868,94.875
0.9,0,5,93.4875,1.2819,95.0
0.9,0,6,92.95,1.9118,95.4375
0.9,0,7,93.1375,0.6824,93.875
0.9,0,8,92.975,2.1225,95.125
