alpha,lambda,round,mean_acc,std_acc,best_acc
0,0,0,82.625,0.0,82.625
0,0,1,88.475,4.1633,92.125
0,0,2,90.275,3.3734,95.3125
0,0,3,89.35,3.0255,94.1875
0,0,4,90.5,3.2575,94.5
0,0,5,90.825,2.5607,94.0625
0,0,6,89.7125,2.1531,92.0625
0,0,7,89.65,2.2184,92.75
0,0,8,88.9,3.5763,93.8125
