alpha,lambda,round,mean_acc,std_acc,best_acc
0.5,0,0,82.625,0.0,82.625
0.5,0,1,91.95,2.248,95.125
0.5,0,2,93.7,2.345,96.875
0.5,0,3,93.1125,1.2001,94.3125
0.5,0,4,92.65,3.5138,95.375
0.5,0,5,91.1875,2.2934,93.75
0.5,0,6,92.6875,1.625,94.5
0.5,0,7,93.175,0.7634,93.875
0.5,0,8,92.1875,1.2732,94.0
