alpha,lambda,round,mean_acc,std_acc,best_acc
0,0.3,0,82.625,0.0,82.625
0,0.3,1,93.425,3.2099,97.0
0,0.3,2,90.4875,4.9563,96.0625
0,0.3,3,91.725,2.85,94.875
0,0.3,4,93.1875,2.999,96.125
0,0.3,5,94.1125,1.0892,95.1875
0,0.3,6,91.7125,4.0053,96.0
0,0.3,7,91.4375,0.75,92.5
0,0.3,8,92.5375,2.186,95.875
